#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-xbacklight,"enables changing screen brightness levels."
,xorg-xdpyinfo,"is a display information utility for X."
,xorg-xinput,"a commandline tool to configure devices."
,xorg-xkill,"kills a client by its X resource."
,xorg-xprop,"is a tool for detecting window properties."
,xorg-xrandr,"is a command line interface to RandR extension."
,xorg-xsetroot,"sets your root window background to a given pattern or color."
,xorg-xwininfo,"allows querying information about windows."
,xbindkeys,"launchs shell commands with your keyboard or your mouse under X."
,xclip,"allows for copying and pasting from the command line."
,xdo,"provides window action utilities on the command line."
,htop,"is a system monitor."
,bat,"can highlight code output and display files and is used to generate previews in the file browser."
,fzf,"is a fuzzy finder tool used for easy selection and location of files."
,unzip,"unzips zips."
,bash-completion,"provides programmable completion for the bash shell."
,ntfs-3g,"allows accessing NTFS partitions."
,exfat-utils,"allows management of FAT drives."
,man-db,"lets you read man pages of programs."
,tldr,"a collection of simplified and community-driven man pages."
,gnome-keyring,"serves as the system keyring."
,polkit,"manages user policies."
,pavucontrol,"is an audio controller."
,tlp,"is for saving money on electric bills."
,blueman,"is a bluetooth manager."
,firewalld,"is a firewall daemon with D-Bus interface."
,reflector,"is a script to refresh Pacman mirrors."
,adobe-source-code-pro-fonts,"is a monospaced font family for user interface and coding environments."
,adobe-source-han-sans-fonts,"is a set of OpenType Pan-CJK fonts."
,ttf-jetbrains-mono-nerd,"is a nerd font for the terminal."
,noto-fonts,"is an expansive font package."
,noto-fonts-emoji,"is an emoji font."
,ttf-font-awesome,"provides extended glyph support."
,ttf-opensans,"is a sans-serif typeface commissioned by Google."
,ttf-dejavu,"is a font family based on the Bitstream Vera Fonts with a wider range of characters."
,ttf-liberation,"is a font for compatibility with  Arial, Times New Roman, and Courier New."
,cantarell-fonts,"is a humanist sans serif font."
,neofetch,"is a CLI system information tool."
,nano,"is a CLI text editor."
,vim,"is another CLI text editor."
,neovim,"a tidier vim with some useful features."
,nvidia-settings,"for configuring the NVIDIA graphics driver."
,picom,"is a lightweight compositor for X11."
,volumeicon,"controls volume in the system tray."
,network-manager-applet,"applet for managing network connections."
,ibus-pinyin,"pinyin input method for the IBus framework."
,gvfs,"provides file dialogs."
,thunar,"is the file browser."
,polybar,"is a status bar."
,rofi,"is an application launcher."
,dunst,"is a suckless notification system."
,bspwm,"is a tiling window manager based on binary space partitioning."
,sxhkd,"provides hotkeys for bspwm."
A,awesome-git,"an awesome window manager written in Lua."
,luarocks,"is the deployment and management system for Lua modules."
,archlinux-xdg-menu,"for generating WM menu from xdg files."
,alacritty,"a GPU-accelerated terminal emulator."
A,bibata-cursor-theme-bin,"provides a cursor theme."
A,papirus-icon-theme-git,"provides an icon theme."
A,arc-gtk-theme-git,"provides a dark GTK theme."
,python-qdarkstyle,"provides a dark Qt theme."
,lxappearance,"for customising themes of GTK applications."
,qt5ct,"for customising themes of Qt applications."
,sddm,"is the display manager."
,qt5-quickcontrols2,"is required for the SDDM theme."
,fish,"a user friendly shell intended mostly for interactive use."
,firefox,"is the web browser."
,vlc,"is a video player."
A,visual-studio-code-bin,"is a text editor."
A,github-desktop-bin,"is a GUI for managing Git and GitHub."
,discord,"is a chat app."
A,spotify,"is a proprietary music streaming service."
A,octopi,"is a Qt frontend for Pacman."
,baobab,"is a graphical directory tree analyzer."
,gnome-disk-utility,"is a Disk Management Utility."
,gnome-font-viewer,"is a font viewer."
